protein	lifestyle	call	catalytic_residues
Hypsu1_208022	WD	disrupted	HD
Hypsu1_213128	WD	fragment	H-
Hypsu1_34496	WD	disrupted	HD
Hypsu1_47207	WD	disrupted	HG
Hypsu1_48193	WD	fragment	H-
Hypsu1_776418	WD	disrupted	HG
Suqu227_1_1007561	ECM	fragment	H-
Suqu227_1_826812	ECM	fragment	H-
Piclef1_570933	ECM	disrupted	HD
Piclef1_600144	ECM	disrupted	HE
Piclef1_603901	ECM	disrupted	HG
Piclef1_649758	ECM	disrupted	HG
Piclef1_786115	ECM	fragment	--
Piclef1_810328	ECM	disrupted	HD
Piclef1_812332	ECM	fragment	H-
Lacpse1_2005287	ECM	fragment	H-
Botbo1_104663	SAP	disrupted	HS
Botbo1_116243	SAP	fragment	--
Botbo1_138315	SAP	disrupted	HD
Botbo1_142577	SAP	fragment	H-
Botbo1_155294	SAP	intact	HH
Botbo1_177259	SAP	fragment	H-
Botbo1_178617	SAP	fragment	H-
Botbo1_185545	SAP	disrupted	HE
Botbo1_187125	SAP	disrupted	HD
Botbo1_189437	SAP	fragment	H-
Botbo1_190115	SAP	disrupted	HD
Botbo1_191688	SAP	disrupted	HD
Botbo1_192618	SAP	disrupted	HD
Botbo1_232790	SAP	disrupted	HE
Botbo1_232800	SAP	disrupted	HE
Botbo1_25978	SAP	disrupted	HD
Botbo1_292502	SAP	disrupted	HD
Botbo1_29523	SAP	disrupted	HD
Botbo1_31442	SAP	fragment	H-
Botbo1_34582	SAP	disrupted	HD
Botbo1_37781	SAP	disrupted	NN
Botbo1_40858	SAP	fragment	H-
Botbo1_445716	SAP	disrupted	HE
Botbo1_490472	SAP	fragment	H-
Botbo1_505510	SAP	fragment	H-
Botbo1_564265	SAP	disrupted	HD
Botbo1_57669	SAP	intact	HH
Botbo1_57671	SAP	fragment	H-
Botbo1_58322	SAP	fragment	H-
Botbo1_59279	SAP	fragment	H-
Botbo1_627069	SAP	fragment	H-
Botbo1_66826	SAP	fragment	--
Phisc1_205464	ENDO	fragment	H-
Phisc1_315829	ENDO	disrupted	HT
Phisc1_582205	ENDO	disrupted	HN
Phisc1_599858	ENDO	fragment	H-
Phisc1_632963	ENDO	disrupted	HT
Phisc1_634019	ENDO	disrupted	HD
Phisc1_639287	ENDO	fragment	H-
Phisc1_640901	ENDO	fragment	H-
Phisc1_667422	ENDO	fragment	H-
Phisc1_674914	ENDO	fragment	H-
Phisc1_697291	ENDO	disrupted	HS
Phisc1_706719	ENDO	fragment	H-
Phisc1_707156	ENDO	fragment	H-
Phisc1_708693	ENDO	fragment	H-
Phisc1_711917	ENDO	fragment	H-
Phisc1_712823	ENDO	disrupted	HE
Phisc1_720446	ENDO	fragment	-D
Phisc1_734466	ENDO	disrupted	HL
Phisc1_760760	ENDO	disrupted	HE
Phisc1_772659	ENDO	disrupted	YQ
Phisc1_781244	ENDO	disrupted	HD
ElagrMar1_1435515	ECM	disrupted	HE
ElagrMar1_1623881	ECM	disrupted	HN
Hebcy2_24512	ECM	disrupted	HG
Hebcy2_436297	ECM	disrupted	HN
Hebcy2_78398	ECM	fragment	H-
Muloch1_441066	ECM	fragment	H-
Tulca1_115464	ORM	disrupted	HN
Tulca1_115477	ORM	fragment	--
Tulca1_13939	ORM	disrupted	HE
Tulca1_14006	ORM	fragment	--
Tulca1_156512	ORM	disrupted	HD
Tulca1_16603	ORM	fragment	H-
Tulca1_17571	ORM	fragment	H-
Tulca1_218482	ORM	disrupted	HD
Tulca1_226770	ORM	fragment	H-
Tulca1_23812	ORM	disrupted	HT
Tulca1_25759	ORM	fragment	H-
Tulca1_25835	ORM	disrupted	HD
Tulca1_26255	ORM	disrupted	HE
Tulca1_27305	ORM	fragment	H-
Tulca1_27348	ORM	fragment	H-
Tulca1_28731	ORM	fragment	H-
Tulca1_31815	ORM	fragment	H-
Tulca1_3260	ORM	fragment	H-
Tulca1_34801	ORM	fragment	--
Tulca1_37974	ORM	fragment	H-
Tulca1_4552	ORM	disrupted	HE
Tulca1_4680	ORM	fragment	F-
Tulca1_6207	ORM	fragment	H-
Tulca1_64186	ORM	fragment	H-
Tulca1_64187	ORM	fragment	H-
Tulca1_65286	ORM	fragment	-D
Tulca1_65350	ORM	fragment	H-
Tulca1_68500	ORM	disrupted	HD
Tulca1_75390	ORM	fragment	--
Tulca1_76474	ORM	disrupted	HD
Tulca1_76541	ORM	disrupted	HD
Tulca1_81161	ORM	disrupted	HD
Tulca1_8756	ORM	disrupted	HD
Sebve1_125438	ORM	fragment	H-
Sebve1_125454	ORM	fragment	H-
Sebve1_190109	ORM	fragment	H-
Sebve1_20258	ORM	disrupted	HE
Sebve1_20789	ORM	disrupted	HD
Sebve1_22376	ORM	disrupted	HD
Sebve1_22378	ORM	disrupted	HD
Sebve1_22723	ORM	disrupted	HN
Sebve1_22926	ORM	fragment	H-
Sebve1_23157	ORM	fragment	H-
Sebve1_24803	ORM	fragment	-D
Sebve1_24820	ORM	fragment	H-
Sebve1_29025	ORM	disrupted	HD
Sebve1_29959	ORM	disrupted	HM
Sebve1_305910	ORM	disrupted	HS
Sebve1_30972	ORM	fragment	H-
Sebve1_311606	ORM	disrupted	HD
Sebve1_321001	ORM	fragment	H-
Sebve1_332772	ORM	fragment	H-
Sebve1_47015	ORM	fragment	H-
Sebve1_5749	ORM	disrupted	HE
Sebve1_66829	ORM	fragment	-D
Sebve1_67454	ORM	fragment	--
Sebve1_68532	ORM	fragment	--
Sebve1_71681	ORM	disrupted	HD
Sebve1_71712	ORM	disrupted	HD
Sebve1_72142	ORM	fragment	H-
Sebve1_74300	ORM	fragment	H-
Sebve1_77638	ORM	fragment	H-
Sebve1_79588	ORM	fragment	--
Sebve1_81297	ORM	fragment	H-
Sebve1_83118	ORM	fragment	--
Sebve1_83629	ORM	disrupted	HD
Boled5_3407679	ECM	fragment	H-
Boled5_3549031	ECM	fragment	H-
Boled5_3630408	ECM	fragment	H-
Boled5_3647989	ECM	fragment	H-
Pisthe1_1469004	ECM	fragment	H-
Pisthe1_1772414	ECM	fragment	H-
Pisthe1_1799957	ECM	fragment	S-
Pisthe1_765366	ECM	fragment	H-
Russem1_1007922	ECM	fragment	H-
Russem1_417854	ECM	fragment	H-
Russem1_417887	ECM	fragment	H-
Russem1_418146	ECM	fragment	H-
Russem1_655972	ECM	fragment	H-
Russem1_655994	ECM	fragment	H-
Russem1_656300	ECM	fragment	H-
Lacind1_2058309	ECM	fragment	H-
Tercla1_1068084	ECM	fragment	H-
Tercla1_1104922	ECM	disrupted	HG
Tercla1_1140601	ECM	fragment	H-
Rhier1_282948	ERM	disrupted	HD
Rhier1_576701	ERM	fragment	--
Rhier1_629245	ERM	disrupted	QN
Rhier1_675350	ERM	fragment	H-
Rhier1_701535	ERM	disrupted	HS
Rhier1_707470	ERM	disrupted	HT
Rhier1_742346	ERM	fragment	Y-
Rusvin1_1033163	ECM	fragment	H-
Rusvin1_1084773	ECM	fragment	H-
Chove1_1085730	ECM	fragment	--
Chove1_1687634	ECM	fragment	--
Chove1_1705648	ECM	disrupted	HD
Chove1_1731872	ECM	disrupted	HE
Chove1_1777373	ECM	fragment	-S
Chove1_1789540	ECM	fragment	--
Chove1_1808969	ECM	fragment	H-
Chove1_1821144	ECM	disrupted	HG
Chove1_1823387	ECM	disrupted	HG
Chove1_1827166	ECM	fragment	H-
Chove1_1828162	ECM	disrupted	HD
Chove1_1829131	ECM	fragment	--
Chove1_1830346	ECM	disrupted	HD
Chove1_1837172	ECM	fragment	H-
Chove1_1837666	ECM	disrupted	HD
Chove1_1840820	ECM	disrupted	HD
Chove1_1841523	ECM	disrupted	HD
Chove1_414790	ECM	fragment	--
Lacsan1_1642918	ECM	fragment	H-
Theter1_1009584	ECM	fragment	H-
Theter1_1015447	ECM	disrupted	HD
Theter1_1102984	ECM	disrupted	HE
Serend1_1007336	ORM	fragment	H-
Serend1_1215535	ORM	fragment	H-
Serend1_1221778	ORM	disrupted	HD
Serend1_1237597	ORM	fragment	H-
Serend1_1241411	ORM	fragment	-D
Serend1_1242515	ORM	fragment	H-
Serend1_1282368	ORM	fragment	H-
Serend1_1346145	ORM	fragment	H-
Serend1_1370873	ORM	fragment	H-
Serend1_1382681	ORM	disrupted	HD
Serend1_1383938	ORM	fragment	H-
Serend1_1448067	ORM	fragment	H-
Serend1_15548	ORM	fragment	H-
Serend1_156106	ORM	fragment	H-
Serend1_48818	ORM	disrupted	HD
Serend1_519498	ORM	disrupted	HE
Serend1_52165	ORM	disrupted	HE
Serend1_676591	ORM	disrupted	HD
Serend1_676784	ORM	disrupted	HD
Serend1_776477	ORM	disrupted	QD
Serend1_855744	ORM	disrupted	HD
Serend1_855748	ORM	disrupted	HD
Serend1_855755	ORM	disrupted	HD
Serend1_855830	ORM	disrupted	HE
Serend1_856301	ORM	disrupted	HE
Serend1_89265	ORM	fragment	H-
Serend1_956343	ORM	disrupted	HD
Serend1_960596	ORM	fragment	H-
Serend1_960597	ORM	fragment	F-
Piscap1_2011223	ECM	fragment	H-
Piscap1_2079627	ECM	fragment	H-
Piscap1_2132953	ECM	fragment	H-
Lacdel1_231048	ECM	fragment	H-
Suipunc1_1026379	ECM	fragment	H-
CorTAS3_1_130346	ECM	fragment	--
CorTAS3_1_2303094	ECM	fragment	H-
Amamu1_162167	ECM	fragment	H-
Amamu1_162171	ECM	fragment	H-
Pismar721_1_2913797	ECM	fragment	H-
Pismar721_1_3214344	ECM	fragment	H-
Schco3_1246501	WD	fragment	H-
Schco3_2076751	WD	disrupted	HD
Schco3_2092205	WD	fragment	H-
Schco3_2357859	WD	fragment	--
Schco3_2517303	WD	fragment	K-
Schco3_2517914	WD	disrupted	HE
Schco3_2597408	WD	fragment	H-
Schco3_2599087	WD	disrupted	HD
Schco3_2607856	WD	disrupted	HE
Schco3_2617723	WD	disrupted	HD
Schco3_2621099	WD	disrupted	HD
Schco3_2625035	WD	fragment	H-
Schco3_2625433	WD	fragment	H-
Schco3_2627990	WD	fragment	H-
Schco3_2628203	WD	fragment	--
Schco3_2633361	WD	fragment	H-
Schco3_2634027	WD	disrupted	HD
Schco3_2640531	WD	disrupted	HE
Schco3_2640920	WD	fragment	H-
Schco3_2641623	WD	fragment	H-
Schco3_2672314	WD	fragment	H-
Schco3_2693183	WD	fragment	H-
Hyssto1_54137	ECM	fragment	H-
Trima3_1360717	ECM	fragment	H-
Trima3_1553037	ECM	disrupted	HA
Cenge3_577056	ECM	disrupted	HN
Cenge3_594910	ECM	disrupted	HY
Cenge3_687828	ECM	fragment	H-
Cenge3_688998	ECM	disrupted	HS
Cenge3_705627	ECM	fragment	Y-
Corcam1_622071	ECM	fragment	H-
Corcam1_623025	ECM	fragment	H-
Corcam1_627241	ECM	fragment	H-
Sclyun1_1864378	ECM	fragment	H-
Sclyun1_1864442	ECM	fragment	H-
Sclyun1_2094470	ECM	fragment	H-
Amagr1_1828975	ECM	fragment	H-
Gyman1_1015879	SAP	disrupted	HE
Gyman1_1017224	SAP	fragment	H-
Gyman1_633362	SAP	fragment	H-
Gyman1_750523	SAP	fragment	--
Gyman1_816182	SAP	fragment	H-
Gyman1_824806	SAP	fragment	H-
Gyman1_865488	SAP	fragment	H-
Gyman1_966386	SAP	fragment	H-
Rusear1_1249038	ECM	fragment	H-
Suiame1_1072147	ECM	fragment	H-
Suiame1_900834	ECM	fragment	H-
Suiame1_935761	ECM	fragment	H-
Suiame1_964389	ECM	fragment	H-
Lacam2_680697	ECM	fragment	H-
Lacam2_683217	ECM	fragment	H-
Trire2_120961	SAP	intact	HH
Trire2_27554	SAP	disrupted	HA
Trire2_73643	SAP	disrupted	HW
Hyafin1_1012328	ERM	fragment	-Q
Hyafin1_539336	ERM	disrupted	HS
Hyafin1_748264	ERM	disrupted	HN
Hyafin1_758359	ERM	disrupted	HS
Hyafin1_907274	ERM	disrupted	HD
Hyafin1_923725	ERM	fragment	H-
Hyafin1_970494	ERM	fragment	--
Hyavar1_409826	ERM	disrupted	HT
Hyavar1_432818	ERM	fragment	H-
Hyavar1_454162	ERM	fragment	H-
Hyavar1_457220	ERM	fragment	H-
Hyavar1_459280	ERM	disrupted	HD
Hyavar1_491382	ERM	disrupted	HD
Hyavar1_509000	ERM	fragment	H-
Hyavar1_515363	ERM	fragment	H-
Hyavar1_522617	ERM	fragment	H-
Hyavar1_529661	ERM	fragment	H-
Hyavar1_554382	ERM	disrupted	HE
Hyavar1_563363	ERM	disrupted	DN
Hyavar1_568601	ERM	disrupted	HT
Hyavar1_572560	ERM	fragment	H-
Hyavar1_582911	ERM	fragment	H-
Hyavar1_583026	ERM	fragment	H-
Hyavar1_597929	ERM	disrupted	HQ
Hyavar1_599997	ERM	fragment	H-
Hyavar1_610363	ERM	disrupted	HT
Hyavar1_610688	ERM	disrupted	HK
Hyavar1_97255	ERM	disrupted	HD
Melbi2_351255	ERM	fragment	--
Melbi2_547166	ERM	disrupted	HS
Melbi2_553709	ERM	disrupted	HS
Melbi2_614647	ERM	disrupted	HD
Melbi2_631511	ERM	fragment	--
Melbi2_650524	ERM	disrupted	HQ
Tulsp812A_1_42335	ORM	disrupted	HD
Tulsp812A_1_507183	ORM	disrupted	HD
Tulsp812A_1_517412	ORM	disrupted	HE
Tulsp812A_1_530841	ORM	fragment	H-
Tulsp812A_1_531479	ORM	fragment	--
Tulsp812A_1_531551	ORM	disrupted	HT
Tulsp812A_1_536327	ORM	fragment	H-
Tulsp812A_1_536728	ORM	disrupted	HG
Tulsp812A_1_556941	ORM	disrupted	HG
Tulsp812A_1_573759	ORM	fragment	H-
Tulsp812A_1_600663	ORM	fragment	-G
Tulsp812A_1_607638	ORM	disrupted	HE
Tulsp812A_1_615920	ORM	fragment	H-
Tulsp812A_1_653703	ORM	disrupted	HD
Tulsp812A_1_653797	ORM	fragment	H-
Tulsp812A_1_653977	ORM	disrupted	HD
Tulsp812A_1_653979	ORM	disrupted	HD
Tulsp812A_1_663561	ORM	fragment	--
Tulsp812A_1_684975	ORM	fragment	H-
Tulsp812A_1_688212	ORM	fragment	H-
Tulsp812A_1_688530	ORM	fragment	H-
Tulsp812A_1_694201	ORM	fragment	H-
Tulsp812A_1_698809	ORM	disrupted	HD
Tulsp812A_1_745893	ORM	fragment	H-
Tulsp812A_1_749537	ORM	disrupted	HD
Tulsp812A_1_751801	ORM	disrupted	HD
Tulsp812A_1_761392	ORM	fragment	H-
Tulsp812A_1_781801	ORM	fragment	H-
Tulsp812A_1_807817	ORM	disrupted	HD
Tulsp812A_1_807821	ORM	fragment	-D
Tulsp812A_1_808270	ORM	fragment	H-
Tulsp812A_1_809782	ORM	fragment	H-
Tulsp812A_1_810016	ORM	disrupted	HD
Tulsp812A_1_832043	ORM	fragment	H-
Tulsp812A_1_843903	ORM	fragment	H-
Tulsp812A_1_855311	ORM	fragment	H-
Tulsp812A_1_860305	ORM	fragment	H-
Tulsp812A_1_861651	ORM	disrupted	HD
Tulsp812A_1_875427	ORM	fragment	H-
Tulsp812A_1_880378	ORM	fragment	H-
SuiFC429_1_1248145	ECM	fragment	H-
SuiFC429_1_1248159	ECM	fragment	H-
SuiFC429_1_600835	ECM	fragment	H-
Bissp1_124185	SAP	disrupted	HG
Bissp1_249974	SAP	fragment	H-
Bissp1_257676	SAP	disrupted	HD
Bissp1_287002	SAP	disrupted	HG
Bissp1_310828	SAP	disrupted	HV
Bissp1_502743	SAP	disrupted	HE
Bissp1_504654	SAP	disrupted	HD
Bissp1_507187	SAP	disrupted	HA
Bissp1_509651	SAP	disrupted	HD
Bissp1_514809	SAP	intact	HH
Bissp1_516365	SAP	disrupted	HG
Bissp1_524668	SAP	fragment	--
Bissp1_524899	SAP	fragment	--
Bissp1_554403	SAP	disrupted	HN
Bissp1_578563	SAP	fragment	H-
Bissp1_604416	SAP	intact	HH
Bissp1_624412	SAP	disrupted	HE
Bissp1_655957	SAP	disrupted	HR
Bissp1_683350	SAP	fragment	H-
Bissp1_683352	SAP	fragment	H-
Bissp1_684203	SAP	fragment	H-
Bissp1_684299	SAP	fragment	H-
Bissp1_688885	SAP	disrupted	HG
Bissp1_705360	SAP	fragment	H-
Bissp1_719216	SAP	disrupted	HD
Bissp1_720051	SAP	fragment	H-
Bissp1_737653	SAP	disrupted	HT
Bissp1_748143	SAP	fragment	-S
Fibsp1_1035516	SAP	fragment	H-
Fibsp1_1040659	SAP	fragment	H-
Fibsp1_1051196	SAP	fragment	H-
Fibsp1_1051974	SAP	fragment	H-
Fibsp1_174098	SAP	fragment	H-
Fibsp1_723383	SAP	fragment	H-
Fibsp1_772133	SAP	fragment	H-
Fibsp1_782434	SAP	disrupted	HD
Fibsp1_783943	SAP	fragment	H-
Fibsp1_800974	SAP	fragment	H-
Fibsp1_815990	SAP	disrupted	HS
Fibsp1_822556	SAP	fragment	H-
Fibsp1_844261	SAP	fragment	H-
Fibsp1_876187	SAP	fragment	H-
Suiplac1_278862	ECM	fragment	H-
Suiplac1_288199	ECM	fragment	H-
Asppari1_116122	PATH	disrupted	HE
Asppari1_339257	PATH	disrupted	HD
Asppari1_381322	PATH	disrupted	HE
Asppari1_388319	PATH	disrupted	HG
Asppari1_402888	PATH	disrupted	HG
Asppari1_406611	PATH	disrupted	HD
Asppari1_407352	PATH	disrupted	HE
Asppari1_6934	PATH	disrupted	HG
Suiqui1_823879	ECM	fragment	H-
Suiqui1_824225	ECM	fragment	H-
Chalo1_284282	SAP	disrupted	HS
Chalo1_335654	SAP	fragment	H-
Chalo1_346669	SAP	disrupted	HD
Chalo1_407321	SAP	fragment	H-
Chalo1_407540	SAP	fragment	H-
Chalo1_409836	SAP	disrupted	NN
Chalo1_424160	SAP	disrupted	HT
Chalo1_429470	SAP	fragment	H-
Chalo1_431115	SAP	disrupted	HD
Chalo1_445745	SAP	fragment	H-
Chalo1_458611	SAP	disrupted	HD
Chalo1_472964	SAP	fragment	H-
Chalo1_474603	SAP	disrupted	HS
Chalo1_474803	SAP	disrupted	HD
Chalo1_475825	SAP	fragment	H-
Chalo1_477472	SAP	fragment	H-
Chalo1_481916	SAP	disrupted	HQ
Chalo1_487083	SAP	disrupted	HT
Chalo1_502721	SAP	fragment	H-
Chalo1_504065	SAP	fragment	H-
Chalo1_513408	SAP	disrupted	HA
Chalo1_518135	SAP	fragment	-E
Chalo1_531839	SAP	disrupted	HK
Chalo1_546591	SAP	fragment	H-
Chalo1_563761	SAP	fragment	H-
Aurde3_1_1143535	WD	disrupted	HD
Aurde3_1_1168752	WD	fragment	H-
Aurde3_1_1200152	WD	fragment	H-
Aurde3_1_120993	WD	fragment	H-
Aurde3_1_1220240	WD	fragment	H-
Aurde3_1_1242411	WD	disrupted	HD
Aurde3_1_1273758	WD	intact	HH
Aurde3_1_1335541	WD	fragment	H-
Aurde3_1_1346206	WD	fragment	H-
Aurde3_1_1348548	WD	disrupted	HD
Aurde3_1_1352721	WD	disrupted	HD
Aurde3_1_1355442	WD	fragment	H-
Aurde3_1_140513	WD	disrupted	HD
Aurde3_1_1411345	WD	fragment	H-
Aurde3_1_1413064	WD	disrupted	HE
Aurde3_1_1413874	WD	fragment	H-
Aurde3_1_165660	WD	fragment	H-
Aurde3_1_199593	WD	disrupted	HE
Aurde3_1_76025	WD	fragment	H-
LaccKIS6_1_1146054	ECM	fragment	H-
LaccKIS6_1_1233594	ECM	fragment	H-
LaccKIS6_1_1405518	ECM	fragment	H-
LaccKIS6_1_1407801	ECM	fragment	F-
LaccKIS6_1_946532	ECM	disrupted	HD
Suilquie1_1114934	ECM	fragment	H-
Suilquie1_155868	ECM	fragment	H-
Tubmel1_1756475	ECM	disrupted	HG
Tubmel1_2338297	ECM	disrupted	HE
Tubmel1_2673769	ECM	disrupted	HE
Tubmel1_747736	ECM	disrupted	HG
Conpu1_122391	WD	fragment	H-
Conpu1_131262	WD	fragment	H-
Conpu1_140516	WD	disrupted	HE
Conpu1_152717	WD	fragment	H-
Conpu1_62587	WD	fragment	H-
Conpu1_71589	WD	fragment	H-
Conpu1_76886	WD	fragment	H-
Conpu1_81549	WD	fragment	H-
Conpu1_89426	WD	fragment	H-
Conpu1_91873	WD	disrupted	HE
Geocar1_379993	ECM	disrupted	HD
Geocar1_39443	ECM	disrupted	HD
Geocar1_618926	ECM	disrupted	HS
Geocar1_626892	ECM	fragment	-G
Geocar1_645314	ECM	disrupted	HD
Geocar1_669258	ECM	disrupted	HD
Geocar1_673076	ECM	disrupted	HS
Geocar1_699437	ECM	disrupted	HE
Geocar1_706436	ECM	disrupted	HD
Geocar1_715432	ECM	fragment	H-
Geocar1_715443	ECM	fragment	H-
Geocar1_720223	ECM	fragment	H-
Geocar1_724436	ECM	fragment	H-
Geocar1_726097	ECM	disrupted	HE
Geocar1_729672	ECM	fragment	H-
Geocar1_751711	ECM	disrupted	HE
Geocar1_752474	ECM	fragment	H-
Geocar1_759361	ECM	fragment	H-
Geocar1_776331	ECM	disrupted	NN
Geocar1_778344	ECM	fragment	H-
Geocar1_786689	ECM	fragment	H-
Geocar1_791688	ECM	disrupted	HD
Geocar1_80355	ECM	disrupted	HT
Pleost1_1101894	WD	disrupted	HD
Pleost1_1113171	WD	disrupted	HD
Pleost1_1120542	WD	disrupted	HD
Pleost1_1160924	WD	disrupted	HD
Pleost1_1176223	WD	fragment	H-
Pleost1_1203197	WD	fragment	H-
Pleost1_1211262	WD	fragment	H-
Pleost1_1213208	WD	disrupted	HD
Pleost1_1229419	WD	fragment	H-
Pleost1_1249018	WD	disrupted	HG
Pleost1_1254678	WD	disrupted	HE
Pleost1_1263113	WD	fragment	H-
Pleost1_1269352	WD	fragment	H-
Pleost1_1274301	WD	fragment	H-
Pleost1_1275495	WD	fragment	H-
Pleost1_1297559	WD	disrupted	HD
Pleost1_1297561	WD	disrupted	HD
Pleost1_1302687	WD	disrupted	HD
Pleost1_1306842	WD	disrupted	HD
Pleost1_1307582	WD	fragment	H-
Pleost1_1357772	WD	fragment	H-
Pleost1_1371429	WD	fragment	--
Pleost1_228748	WD	fragment	H-
Pleost1_279614	WD	fragment	H-
Pleost1_342470	WD	fragment	H-
Pleost1_576700	WD	disrupted	HD
Pleost1_704592	WD	disrupted	HG
Pleost1_839174	WD	fragment	H-
Pleost1_860161	WD	fragment	H-
Rusbre1_1012637	ECM	fragment	H-
Elamur1_248874	ECM	disrupted	HQ
Elamur1_767197	ECM	disrupted	HE
Pilsph1_794524	ECM	fragment	H-
Pilsph1_834696	ECM	disrupted	HT
Crula1_111155	SAP	disrupted	HN
Crula1_123149	SAP	fragment	H-
Crula1_321462	SAP	disrupted	HD
Crula1_323884	SAP	disrupted	HD
Crula1_563642	SAP	fragment	H-
Crula1_590120	SAP	disrupted	HE
Crula1_602931	SAP	disrupted	HD
Crula1_608173	SAP	fragment	H-
Crula1_617534	SAP	fragment	--
Crula1_627397	SAP	disrupted	HD
Crula1_630299	SAP	fragment	H-
Crula1_647936	SAP	disrupted	KD
Crula1_654069	SAP	fragment	H-
Crula1_657986	SAP	disrupted	HD
Crula1_657990	SAP	disrupted	HD
Crula1_673509	SAP	fragment	H-
Crula1_692671	SAP	fragment	H-
Crula1_700045	SAP	disrupted	HD
Crula1_700914	SAP	disrupted	HD
Crula1_703516	SAP	disrupted	HD
Crula1_709597	SAP	disrupted	HD
Crula1_717102	SAP	fragment	H-
Crula1_722936	SAP	disrupted	HS
Crula1_724215	SAP	disrupted	HE
Crula1_724439	SAP	disrupted	HD
Crula1_724443	SAP	fragment	H-
Crula1_724902	SAP	fragment	H-
Crula1_726958	SAP	disrupted	HD
Crula1_728899	SAP	fragment	-S
Crula1_730485	SAP	disrupted	HA
Crula1_740117	SAP	fragment	H-
Crula1_752938	SAP	disrupted	HD
Crula1_753868	SAP	fragment	H-
Crula1_760763	SAP	disrupted	HD
Corarc1_1944083	ECM	fragment	H-
Corarc1_2037359	ECM	fragment	H-
Phchr2_1216344	WD	fragment	--
Phchr2_2908293	WD	fragment	H-
Phchr2_2934397	WD	disrupted	HD
Phchr2_2975821	WD	disrupted	HD
Phchr2_2976448	WD	fragment	H-
Phchr2_2980158	WD	fragment	H-
Phchr2_2982319	WD	fragment	H-
Phchr2_2982894	WD	fragment	H-
Phchr2_3003776	WD	disrupted	HV
Phchr2_3004691	WD	fragment	H-
Phchr2_3005492	WD	disrupted	HD
Phchr2_3026777	WD	disrupted	HS
Phchr2_3027731	WD	disrupted	HE
Phchr2_3029242	WD	disrupted	HD
Phchr2_3040475	WD	fragment	--
Phchr2_42616	WD	fragment	H-
Lachat1_620758	ECM	fragment	H-
Neucr_trp3_1_10356	SAP	fragment	H-
Neucr_trp3_1_10480	SAP	disrupted	HD
Neucr_trp3_1_1873	SAP	fragment	H-
Neucr_trp3_1_2297	SAP	fragment	H-
Neucr_trp3_1_2381	SAP	disrupted	HD
Neucr_trp3_1_2935	SAP	disrupted	HA
Neucr_trp3_1_4962	SAP	fragment	H-
Neucr_trp3_1_5161	SAP	disrupted	HE
Neucr_trp3_1_5518	SAP	disrupted	HD
Neucr_trp3_1_589	SAP	disrupted	HE
Neucr_trp3_1_6196	SAP	disrupted	HG
Neucr_trp3_1_6897	SAP	disrupted	HE
Neucr_trp3_1_7469	SAP	disrupted	HD
Neucr_trp3_1_9377	SAP	disrupted	HE
Kurarg1_126810	ECM	fragment	H-
Kurarg1_161415	ECM	disrupted	HD
Kurarg1_199110	ECM	fragment	H-
Kurarg1_240814	ECM	disrupted	HD
Kurarg1_402164	ECM	fragment	H-
Kurarg1_431520	ECM	fragment	H-
Kurarg1_47453	ECM	fragment	H-
Kurarg1_523038	ECM	disrupted	HE
Kurarg1_524030	ECM	disrupted	HE
Kurarg1_536069	ECM	fragment	H-
Kurarg1_796414	ECM	disrupted	HD
Kurarg1_797187	ECM	fragment	H-
Kurarg1_803032	ECM	fragment	H-
Kurarg1_821995	ECM	disrupted	HD
Kurarg1_875960	ECM	fragment	H-
Kurarg1_910511	ECM	fragment	H-
Kurarg1_916868	ECM	fragment	H-
Kurarg1_918216	ECM	disrupted	HD
Stasp1_100958	PATH	fragment	H-
Stasp1_111973	PATH	disrupted	HD
Stasp1_132294	PATH	fragment	H-
Stasp1_135049	PATH	disrupted	HD
Stasp1_139636	PATH	fragment	H-
Stasp1_153083	PATH	fragment	H-
Stasp1_203835	PATH	disrupted	HE
Stasp1_212588	PATH	disrupted	HK
Stasp1_234093	PATH	disrupted	HD
Stasp1_236404	PATH	disrupted	HG
Stasp1_240564	PATH	disrupted	HG
Stasp1_241883	PATH	disrupted	HE
Stasp1_254321	PATH	fragment	H-
Stasp1_255593	PATH	disrupted	HD
Stasp1_265558	PATH	fragment	H-
Stasp1_284085	PATH	disrupted	HD
Stasp1_306352	PATH	disrupted	HE
Stasp1_307750	PATH	fragment	H-
Stasp1_310256	PATH	disrupted	HD
Stasp1_313166	PATH	fragment	H-
Stasp1_313294	PATH	fragment	H-
Stasp1_318454	PATH	fragment	-K
Stasp1_320423	PATH	disrupted	HD
Stasp1_329849	PATH	disrupted	HD
Stasp1_333607	PATH	fragment	H-
Stasp1_334598	PATH	disrupted	HD
Stasp1_337532	PATH	disrupted	HG
Stasp1_342505	PATH	disrupted	HE
Stasp1_343338	PATH	disrupted	HE
Stasp1_345282	PATH	fragment	H-
Stasp1_346252	PATH	disrupted	HP
Stasp1_356206	PATH	fragment	H-
Stasp1_364029	PATH	fragment	H-
Stasp1_364463	PATH	disrupted	HE
Stasp1_370375	PATH	disrupted	HT
Stasp1_370714	PATH	disrupted	HE
Stasp1_375929	PATH	fragment	H-
Pismi_AB1_1_1008984	ECM	fragment	H-
Pismi_AB1_1_1186569	ECM	fragment	H-
Pismi_AB1_1_1210031	ECM	fragment	H-
Parsph2_1586848	ECM	fragment	H-
Parsph2_1749235	ECM	fragment	H-
